first_name,last_name,bball_ref_name,sports_ref_name,last_college_season,school,conference,birthday,age_at_draft,height,weight
terrence,jones,joneste01,terrence-jones-1,2011-12,Kentucky,SEC,1992-01-09,20.416666666666668,81,252
andrew,nicholson,nichoan01,andrew-nicholson-1,2011-12,St. Bonaventure,A-10,1989-12-08,22.5,81,240
jared,sullinger,sullija01,jared-sullinger-1,2011-12,Ohio State,Big Ten,1992-03-04,20.25,81,265
fab,melo,melofa01,fab-melo-1,2011-12,Syracuse,Big East,1990-06-20,22.0,84,244
john,jenkins,jenkijo01,john-jenkins-1,2011-12,Vanderbilt,SEC,1991-03-06,21.25,76,215
jared,cunningham,cunnija01,jared-cunningham-2,2011-12,Oregon State,Pac-12,1991-05-22,21.083333333333332,76,194
tony,wroten,wroteto01,tony-wroten-1,2011-12,Washington,Pac-12,1993-04-13,19.166666666666668,77,205
miles,plumlee,plumlmi01,miles-plumlee-1,2011-12,Duke,ACC,1988-09-01,23.75,82,245
arnett,moultrie,moultar01,arnett-moultrie-1,2011-12,Mississippi State,SEC,1990-11-18,21.583333333333332,83,249
perry,jones,jonespe01,perry-jones-1,2011-12,Baylor,Big 12,1991-09-24,20.75,83,235
marquis,teague,teaguma01,marquis-teague-1,2011-12,Kentucky,SEC,1993-02-28,19.333333333333332,74,189
festus,ezeli,ezelife01,festus-ezeli-1,2011-12,Vanderbilt,SEC,1989-10-21,22.666666666666668,83,255
jeffery,taylor,tayloje03,jeffery-taylor-1,2011-12,Vanderbilt,SEC,1989-05-23,23.083333333333332,79,225
bernard,james-,jamesbe01,bernard-james--1,2011-12,Florida State,ACC,1985-02-07,27.333333333333332,82,240
jae,crowder,crowdja01,jae-crowder-1,2011-12,Marquette,Big East,1990-07-06,21.916666666666668,78,235
draymond,green,greendr01,draymond-green-1,2011-12,Michigan State,Big Ten,1990-03-04,22.25,79,230
orlando,johnson,johnsor01,orlando-johnson-1,2011-12,UCSB,Big West,1989-03-11,23.25,77,205
quincy,acy,acyqu01,quincy-acy-1,2011-12,Baylor,Big 12,1990-10-06,21.666666666666668,79,235
quincy,miller,millequ01,quincy-miller-1,2011-12,Baylor,Big 12,1992-11-18,19.583333333333332,81,210
khris,middleton,middlkh01,khris-middleton-1,2011-12,Texas A&M,Big 12,1991-08-12,20.833333333333332,79,217
will,barton,bartowi01,will-barton-1,2011-12,Memphis,CUSA,1991-01-06,21.416666666666668,78,175
tyshawn,taylor,tayloty01,tyshawn-taylor-1,2011-12,Kansas,Big 12,1990-04-12,22.166666666666668,75,185
doron,lamb,lambdo01,doron-lamb-1,2011-12,Kentucky,SEC,1991-11-06,20.583333333333332,76,210
mike,scott,scottmi01,mike-scott-4,2011-12,Virginia,ACC,1988-07-16,23.916666666666668,80,237
kim,english,engliki01,kim-english-1,2011-12,Missouri,Big 12,1988-09-24,23.75,78,200
justin,hamilton,hamilju01,justin-hamilton-2,2011-12,LSU,SEC,1990-04-01,22.166666666666668,84,260
darius,miller,milleda01,darius-miller-1,2011-12,Kentucky,SEC,1990-03-21,22.25,80,225
kevin,murphy,murphke01,kevin-murphy-1,2011-12,Tennessee Tech,OVC,1990-03-06,22.25,79,185
kyle,oquinn,oquinky01,kyle-oquinn-1,2011-12,Norfolk State,MEAC,1990-03-26,22.25,82,240
kris,joseph,josepkr01,kris-joseph-1,2011-12,Syracuse,Big East,1988-12-17,23.5,79,210
darius,johnson-odom,johnsda03,darius-johnson-odom-1,2011-12,Marquette,Big East,1989-09-28,22.75,74,215
robbie,hummel,hummero01,robbie-hummel-1,2011-12,Purdue,Big Ten,1989-03-08,23.25,80,215
marcus,denmon,denmoma01,marcus-denmon-1,2011-12,Missouri,Big 12,1990-03-20,22.25,75,185
robert,sacre,sacrero01,robert-sacre-1,2011-12,Gonzaga,WCC,1989-06-06,23.0,84,260
kyrie,irving,irvinky01,kyrie-irving-1,2010-11,Duke,ACC,1992-03-23,19.25,74,180
derrick,williams,willide02,derrick-williams-2,2010-11,Arizona,Pac-10,1991-05-25,20.0,80,235
tristan,thompson,thomptr01,tristan-thompson-2,2010-11,Texas,Big 12,1991-03-13,20.25,80,225
brandon,knight,knighbr03,brandon-knight-1,2010-11,Kentucky,SEC,1991-12-02,19.5,75,185
kemba,walker,walkeke02,kemba-walker-1,2010-11,UConn,Big East,1990-05-08,21.083333333333332,73,172
jimmer,fredette,fredeji01,jimmer-fredette-1,2010-11,BYU,MWC,1989-02-25,22.25,74,195
klay,thompson,thompkl01,klay-thompson-1,2010-11,Washington State,Pac-10,1990-02-08,21.333333333333332,78,200
alec,burks,burksal01,alec-burks-1,2010-11,Colorado,Big 12,1991-07-20,19.916666666666668,78,195
markieff,morris,morrima02,markieff-morris-1,2010-11,Kansas,Big 12,1989-09-02,21.75,82,245
marcus,morris,morrima03,marcus-morris-1,2010-11,Kansas,Big 12,1989-09-02,21.75,81,235
kawhi,leonard,leonaka01,kawhi-leonard-1,2010-11,San Diego State,MWC,1991-06-29,19.916666666666668,79,225
nikola,vucevic,vucevni01,nikola-vucevic-1,2010-11,USC,Pac-10,1990-10-24,20.583333333333332,82,220
iman,shumpert,shumpim01,iman-shumpert-1,2010-11,Georgia Tech,ACC,1990-06-26,20.916666666666668,77,212
chris,singleton,singlch01,chris-singleton-1,2010-11,Florida State,ACC,1989-11-21,21.583333333333332,81,220
tobias,harris,harrito02,tobias-harris-1,2010-11,Tennessee,SEC,1992-07-15,18.916666666666668,80,226
nolan,smith,smithno01,nolan-smith-1,2010-11,Duke,ACC,1988-07-25,22.833333333333332,74,185
kenneth,faried,farieke01,kenneth-faried-1,2010-11,Morehead State,OVC,1989-11-19,21.583333333333332,80,228
reggie,jackson,jacksre01,reggie-jackson-1,2010-11,Boston College,ACC,1990-04-16,21.166666666666668,75,208
marshon,brooks,brookma01,marshon-brooks-1,2010-11,Providence,Big East,1989-01-26,22.333333333333332,77,200
jordan,hamilton,hamiljo02,jordan-hamilton-2,2010-11,Texas,Big 12,1990-10-06,20.666666666666668,79,220
jajuan,johnson,johnsja02,jajuan-johnson-1,2010-11,Purdue,Big Ten,1989-02-08,22.333333333333332,82,221
norris,cole,coleno01,norris-cole-1,2010-11,Cleveland State,Horizon,1988-10-13,22.666666666666668,74,170
cory,joseph,josepco01,cory-joseph-1,2010-11,Texas,Big 12,1991-08-20,19.833333333333332,75,185
jimmy,butler,butleji01,jimmy-butler-1,2010-11,Marquette,Big East,1989-09-14,21.75,79,220
justin,harper,harpeju01,justin-harper-1,2010-11,Richmond,A-10,1989-08-30,21.75,82,225
kyle,singler,singlky01,kyle-singler-1,2010-11,Duke,ACC,1988-05-04,23.083333333333332,80,230
shelvin,mack,macksh01,shelvin-mack-1,2010-11,Butler,Horizon,1990-04-22,21.166666666666668,75,215
tyler,honeycutt,honeyty01,tyler-honeycutt-1,2010-11,UCLA,Pac-10,1990-07-15,20.916666666666668,81,180
jordan,williams,willijo03,jordan-williams-1,2010-11,Maryland,ACC,1990-10-11,20.666666666666668,82,260
trey,thompkins,thomptr02,trey-thompkins-1,2010-11,Georgia,SEC,1990-05-20,21.083333333333332,82,245
chandler,parsons,parsoch01,chandler-parsons-1,2010-11,Florida,SEC,1988-10-25,22.583333333333332,81,215
jon,leuer,leuerjo01,jon-leuer-1,2010-11,Wisconsin,Big Ten,1989-05-14,22.083333333333332,82,228
darius,morris,morrida01,darius-morris-1,2010-11,Michigan,Big Ten,1991-01-03,20.416666666666668,76,190
malcolm,lee,leema01,malcolm-lee-1,2010-11,UCLA,Pac-10,1990-05-22,21.083333333333332,77,180
charles,jenkins,jenkich01,charles-jenkins-1,2010-11,Hofstra,CAA,1989-02-28,22.25,75,220
josh,harrellson,harrejo01,josh-harrellson-1,2010-11,Kentucky,SEC,1989-02-12,22.333333333333332,82,275
andrew,goudelock,goudean01,andrew-goudelock-1,2010-11,College of Charleston,Southern,1988-12-07,22.5,74,200
travis,leslie,leslitr01,travis-leslie-1,2010-11,Georgia,SEC,1990-03-29,21.166666666666668,76,205
keith,benson,bensoke02,keith-benson-1,2010-11,Oakland,Summit,1988-08-13,22.833333333333332,83,230
josh,selby,selbyjo01,josh-selby-1,2010-11,Kansas,Big 12,1991-03-27,20.166666666666668,74,183
lavoy,allen,allenla01,lavoy-allen-1,2010-11,Temple,A-10,1989-02-04,22.333333333333332,81,225
jon,diebler,diebljo01,jon-diebler-1,2010-11,Ohio State,Big Ten,1988-06-22,23.0,78,205
vernon,macklin,macklve01,vernon-macklin-1,2010-11,Florida,SEC,1986-09-20,24.75,81,245
deandre,liggins,liggide01,deandre-liggins-1,2010-11,Kentucky,SEC,1988-03-31,23.166666666666668,78,210
etwaun,moore,mooreet01,etwaun-moore-1,2010-11,Purdue,Big Ten,1989-02-28,22.25,76,191
isaiah,thomas,thomais02,isaiah-thomas-1,2010-11,Washington,Pac-10,1989-02-07,22.333333333333332,68,185
