first_name,last_name,bball_ref_name,sports_ref_name,last_college_season,school,conference,birthday,age_at_draft,height,weight,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
sviatoslav,mykhailiuk,,sviatoslav-mykhailiuk-1,2017-18,Kansas,Big 12,1997-06-10,21.029863720678726,80,195,19,19,641,9.6,21.3,0.451,4.1,9.6,0.423,5.6,11.7,0.474,1.6,2.3,0.731,6.2,4.7,1.9,0.5,2.9,4.0,26.5,117.3,102.2,18.4,0.59,0.581,0.549,0.106,286,3.8,8.3,6.2,13.8,1.9,1.0,11.6,22.4,1.7,0.9,2.6,0.163,5.7,1.7,7.4,0.276,0.515,0.543,0.175,0.279,0.167,0.549,0.474,0.859,0.106,0.731,,,,,,,,,,,,,,,,,,,,,,
dylan,osetkowski,,dylan-osetkowski-1,2017-18,Texas,Big 12,1996-08-08,21.86766326481721,81,255,19,19,649,9.0,20.9,0.429,6.8,13.5,0.503,2.2,7.4,0.293,5.0,6.7,0.743,12.7,1.9,1.8,0.2,4.4,2.8,25.1,101.7,96.4,16.6,0.52,0.481,0.355,0.32,266,7.7,16.5,12.2,6.8,1.8,0.3,15.3,24.7,0.7,1.3,2.0,0.126,1.6,2.3,3.9,0.355,0.695,0.333,0.29,0.269,0.278,0.355,0.293,0.75,0.32,0.743,,,,,,,,,,,,,,,,,,,,,,
malik ,pope,,malik-pope-1,2017-18,San Diego State,MW,1996-07-25,21.905993962915048,82,205,18,18,459,11.9,22.2,0.536,10.7,19.2,0.554,1.2,2.9,0.417,4.2,6.1,0.68,15.2,2.1,1.8,2.7,4.3,4.0,29.2,110.4,91.7,23.3,0.581,0.564,0.133,0.276,214,8.6,21.1,15.0,7.8,1.8,5.6,14.6,25.2,1.0,1.1,2.1,0.184,1.4,4.1,5.5,0.381,0.71,0.592,0.486,0.432,0.579,0.133,0.417,1.0,0.276,0.68,,,,,,,,,,,,,,,,,,,,,,
jontay,porter,,jontay-porter-1,2017-18,Missouri,SEC,1999-11-15,18.598602298472933,83,240,19,4,446,6.3,15.7,0.398,3.7,8.0,0.467,2.5,7.7,0.328,5.6,6.8,0.824,16.9,5.3,2.4,5.2,4.4,6.8,20.6,111.6,88.9,21.0,0.545,0.479,0.492,0.432,168,7.9,23.5,16.3,17.3,2.4,9.1,18.8,20.2,0.9,1.2,2.1,0.187,2.9,8.6,11.5,0.237,0.536,0.4,0.271,0.406,0.231,0.492,0.328,1.0,0.432,0.824,,,,,,,,,,,,,,,,,,,,,,
nick,richards,,nick-richards-2,2017-18,Kentucky,SEC,1997-11-29,20.558943715476705,83,240,19,19,332,8.8,13.5,0.65,8.8,13.5,0.65,0.0,0.0,0.0,5.2,7.1,0.738,18.1,1.4,0.3,4.2,2.9,7.3,22.8,129.7,95.7,23.4,0.675,0.65,0.0,0.525,130,13.0,21.7,17.7,4.5,0.3,8.4,14.5,16.9,1.0,0.7,1.7,0.206,3.4,4.5,8.0,0.55,0.818,0.611,0.45,0.444,0.625,0.0,0.0,0.0,0.525,0.738,,,,,,,,,,,,,,,,,,,,,,
collin,sexton,,collin-sexton-1,2017-18,Alabama,SEC,1999-01-04,19.461043005674313,75,190,16,16,473,10.9,24.6,0.442,8.4,17.8,0.47,2.5,6.7,0.368,12.2,15.2,0.798,6.7,6.5,2.4,0.1,5.2,4.7,36.4,114.3,101.0,24.3,0.572,0.493,0.274,0.62,302,4.0,8.9,6.6,25.5,2.4,0.2,14.0,32.6,1.6,0.8,2.4,0.2,6.3,-0.1,6.2,0.394,0.598,0.265,0.332,0.319,0.045,0.274,0.368,0.19,0.62,0.798,,,,,,,,,,,,,,,,,,,,,,
landry,shamet,,landry-shamet-1,2017-18,Wichita State,AAC,1997-03-13,21.273537444300704,76,179,19,19,576,9.4,17.9,0.527,4.4,7.8,0.563,5.1,10.1,0.5,4.9,5.7,0.847,5.5,9.5,1.4,0.4,3.9,3.3,28.8,134.7,101.6,23.6,0.698,0.668,0.565,0.321,289,1.0,9.6,5.5,29.7,1.4,0.8,15.9,21.1,2.5,0.9,3.4,0.234,8.8,0.4,9.3,0.25,0.696,0.531,0.185,0.382,0.077,0.565,0.5,0.808,0.321,0.847,,,,,,,,,,,,,,,,,,,,,,
ray,spalding,,raymond-spalding-1,2017-18,Louisville,ACC,1997-03-11,21.27901325831468,82,210,19,19,499,9.8,19.5,0.506,9.5,18.0,0.528,0.3,1.5,0.231,4.4,6.3,0.696,19.9,2.7,3.4,4.2,3.7,7.0,24.4,112.9,85.7,25.8,0.544,0.515,0.076,0.326,228,15.2,21.7,18.7,9.4,3.4,7.5,14.2,22.8,1.2,1.5,2.7,0.216,2.5,7.8,10.3,0.509,0.67,0.627,0.416,0.347,0.44,0.075,0.231,0.667,0.324,0.696,,,,,,,,,,,,,,,,,,,,,,
khyri,thomas,,khyri-thomas-1,2017-18,Creighton,Big East,1996-05-08,22.119550709460153,75,200,20,20,588,9.5,19.3,0.493,6.4,10.7,0.593,3.2,8.6,0.368,3.3,4.0,0.818,7.3,5.4,2.5,0.4,3.0,3.6,25.5,117.7,98.5,20.0,0.601,0.575,0.446,0.207,276,3.9,10.5,7.4,16.5,2.5,0.7,12.4,21.9,1.6,1.1,2.6,0.179,5.1,2.9,8.0,0.3,0.75,0.333,0.254,0.407,0.182,0.446,0.368,0.914,0.207,0.818,,,,,,,,,,,,,,,,,,,,,,
killian,tillie,,killian-tillie-1,2017-18,Gonzaga,WCC,1998-03-05,20.29610464280581,82,200,21,20,521,10.6,19.3,0.551,8.9,14.2,0.626,1.7,5.1,0.34,3.9,4.7,0.837,14.0,4.5,2.1,2.8,4.0,6.3,26.9,121.7,92.6,24.0,0.625,0.596,0.264,0.242,241,7.7,20.0,14.2,13.1,2.1,5.4,15.7,21.9,1.6,1.2,2.9,0.219,4.2,5.8,10.0,0.41,0.767,0.607,0.326,0.448,0.5,0.264,0.34,1.0,0.242,0.837,,,,,,,,,,,,,,,,,,,,,,
allonzo,trier,,allonzo-trier-1,2017-18,Arizona,Pac-12,1996-01-17,22.426196294242867,76,190,20,20,674,9.9,19.2,0.518,6.2,9.7,0.635,3.8,9.5,0.398,9.6,11.3,0.851,5.3,5.3,1.2,0.8,4.1,2.7,33.3,129.7,106.1,24.3,0.677,0.616,0.496,0.588,363,1.8,8.9,5.6,17.3,1.2,1.4,14.4,25.3,2.9,0.7,3.7,0.217,8.6,0.1,8.7,0.307,0.729,0.353,0.197,0.489,0.0,0.496,0.398,0.689,0.588,0.851,,,,,,,,,,,,,,,,,,,,,,
lagerald,vick,,lagerald-vick-1,2017-18,Kansas,Big 12,1997-01-12,21.437811864720015,77,175,19,18,628,9.6,18.4,0.519,6.6,11.5,0.577,2.9,6.9,0.423,1.7,2.6,0.655,9.7,5.0,1.9,0.5,2.9,3.4,23.7,119.4,99.3,19.3,0.604,0.599,0.375,0.139,261,4.2,14.4,9.7,14.9,1.9,1.0,13.0,19.9,1.6,1.1,2.7,0.172,4.9,3.2,8.1,0.346,0.708,0.647,0.279,0.414,0.5,0.375,0.423,0.606,0.139,0.655,,,,,,,,,,,,,,,,,,,,,,
moritz,wagner,,moritz-wagner-1,2017-18,Michigan,Big Ten,1997-04-26,21.15306953599321,82,210,20,20,541,12.4,22.7,0.544,9.0,14.6,0.618,3.3,8.1,0.411,3.8,5.4,0.708,15.8,1.4,1.9,1.3,3.2,5.9,31.9,117.7,90.9,24.6,0.631,0.618,0.358,0.235,241,6.0,26.5,16.1,5.0,1.9,2.4,11.3,25.1,1.5,1.4,2.9,0.216,3.4,2.6,6.0,0.328,0.821,0.673,0.314,0.406,0.423,0.358,0.411,0.933,0.235,0.708,,,,,,,,,,,,,,,,,,,,,,
lonnie,walker,,lonnie-walker-2,2017-18,Miami,ACC,1998-12-14,19.518539052821072,76,192,18,4,406,8.5,20.5,0.417,5.1,10.7,0.48,3.4,9.8,0.348,3.4,4.8,0.706,7.0,3.1,2.8,0.9,2.6,3.3,23.9,107.4,92.7,16.9,0.525,0.5,0.479,0.236,156,3.0,10.3,6.8,9.7,2.8,1.5,10.1,22.2,0.6,1.0,1.6,0.157,2.0,3.0,5.0,0.319,0.587,0.407,0.201,0.31,0.222,0.479,0.348,0.625,0.236,0.706,,,,,,,,,,,,,,,,,,,,,,
pj,washington,,pj-washington-1,2017-18,Kentucky,SEC,1998-08-23,19.82792254461077,79,239,19,19,524,7.5,14.1,0.53,7.1,12.5,0.564,0.4,1.6,0.267,6.3,10.7,0.59,10.5,4.3,1.2,2.2,4.2,5.1,21.7,110.0,100.5,17.4,0.565,0.545,0.114,0.758,208,7.8,12.4,10.3,13.7,1.2,4.5,17.8,20.0,0.9,0.8,1.8,0.136,2.7,4.0,6.7,0.508,0.716,0.458,0.379,0.36,0.333,0.114,0.267,1.0,0.758,0.59,,,,,,,,,,,,,,,,,,,,,,
thomas,wilder,,thomas-wilder-1,2017-18,Western Michigan,MAC,1995-05-14,23.105197231976017,75,185,19,19,588,10.2,24.4,0.419,7.5,15.9,0.473,2.7,8.5,0.318,8.8,11.0,0.798,7.6,8.2,3.8,0.6,4.9,3.9,31.9,110.7,99.8,23.8,0.539,0.474,0.348,0.451,335,2.4,12.8,7.4,30.3,3.8,1.3,14.2,29.9,1.6,1.0,2.6,0.176,3.6,0.7,4.3,0.315,0.675,0.222,0.339,0.291,0.12,0.346,0.318,0.571,0.449,0.798,,,,,,,,,,,,,,,,,,,,,,
austin,wiley,,austin-wiley-1,2017-18,Auburn,SEC,1999-01-08,19.45009137764636,83,255,23,22,414,9.4,16.1,0.584,9.4,16.1,0.584,0.0,0.0,0.0,7.2,14.6,0.491,13.9,0.6,0.6,4.0,5.3,7.6,25.9,103.1,106.6,19.1,0.564,0.584,0.0,0.912,195,13.3,14.5,13.9,2.5,0.6,8.0,18.6,24.5,0.6,0.4,1.0,0.095,-1.2,1.6,0.4,0.632,0.696,0.655,0.368,0.391,0.722,0.0,0.0,0.0,0.912,0.491,,,,,,,,,,,,,,,,,,,,,,
robert,williams,,robert-williams-3,2017-18,Texas A&M,SEC,1997-10-17,20.67667371677721,81,237,14,8,356,9.4,16.0,0.584,9.4,15.2,0.615,0.0,0.8,0.0,2.7,5.2,0.515,21.1,4.0,1.9,5.2,4.4,5.1,21.4,107.9,85.5,23.6,0.579,0.584,0.05,0.327,135,11.2,26.8,19.4,13.1,1.9,9.9,19.4,19.4,0.6,1.1,1.6,0.183,1.1,10.0,11.1,0.527,0.724,0.752,0.407,0.411,0.478,0.065,0.111,1.0,0.364,0.59,,,,,,,,,,,,,,,,,,,,,,
johnathan,williams,,johnathan-williams-2,2017-18,Gonzaga,WCC,1995-05-22,23.08329397592011,81,225,21,20,587,10.7,19.3,0.555,10.2,17.3,0.589,0.5,1.9,0.25,6.1,10.7,0.568,14.6,3.2,1.6,2.1,4.2,5.3,27.9,113.8,94.9,22.2,0.574,0.568,0.1,0.555,283,9.9,19.0,14.7,9.4,1.6,4.0,14.8,24.5,1.5,1.3,2.8,0.188,1.7,3.9,5.6,0.61,0.656,0.425,0.29,0.448,0.192,0.1,0.25,0.8,0.555,0.568,,,,,,,,,,,,,,,,,,,,,,
trae,young,,trae-young-1,2017-18,Oklahoma,Big 12,1998-09-19,19.75399905542208,74,180,18,18,611,13.7,30.9,0.443,7.2,14.4,0.497,6.5,16.4,0.396,11.9,14.3,0.836,6.3,14.5,3.0,0.4,7.9,2.1,45.8,120.6,104.3,33.9,0.608,0.549,0.532,0.462,585,1.4,10.6,6.3,54.8,3.0,0.8,17.4,40.0,3.5,0.8,4.2,0.277,13.8,1.3,15.1,0.357,0.508,0.104,0.111,0.463,0.0,0.532,0.396,0.282,0.462,0.836,,,,,,,,,,,,,,,,,,,,,,
